"","datetime","country","shape"
"57269",2019-06-24,"us","changed"
"80098",2020-08-07,NA,"changing"
"37827",2020-03-29,"us","changing"
"3867",2020-10-21,"us","changing"
"29470",2020-02-14,"us","changing"
"86034",2020-09-25,"us","changing"
"14978",2020-11-28,NA,"changing"
"48264",2020-05-20,NA,"changing"
"10316",2019-11-15,"us","changing"
"15526",2020-11-03,"us","changing"
"88979",2020-09-09,"us","changing"
"15203",2020-11-29,"us","changing"
"63316",2019-07-15,"us","changing"
"64489",2020-07-18,"us","changing"
"65585",2020-07-02,"us","changing"
"12261",2020-01-01,"us","changing"
"15065",2020-11-28,"us","changing"
"22647",2020-12-24,"us","changing"
"66255",2020-07-24,"us","changing"
"51808",2020-06-10,NA,"changing"
"36884",2020-03-23,"us","changing"
"50059",2019-05-30,"us","changing"
"12929",2020-11-20,NA,"changing"
"21699",2019-01-22,NA,"changing"
"34139",2020-03-01,"us","changing"
"6811",2020-10-03,"us","changing"
"17994",2020-01-18,"us","changing"
"21005",2020-12-18,"us","changing"
"12294",2020-01-01,"us","changing"
"86759",2020-09-28,"us","changing"
"34118",2020-03-01,"us","changing"
"4486",2020-10-23,"us","changing"
"23878",2020-12-31,"us","changing"
"76053",2020-08-21,"us","changing"
"579",2019-10-01,NA,"changing"
"21224",2020-01-02,"us","changing"
"60338",2020-06-07,"us","changing"
"2456",2020-10-15,"us","changing"
"15829",2020-11-03,"us","changing"
"20061",2020-12-14,NA,"changing"
"36846",2019-03-23,"us","changing"
"25878",2020-01-27,"us","changing"
"68983",2020-07-04,"us","changing"
"82124",2020-09-12,"us","changing"
"46837",2020-05-13,NA,"changing"
"17186",2020-11-06,"us","changing"
"38302",2020-03-31,"us","changing"
"32929",2020-02-06,"us","changing"
"19849",2020-12-13,"us","changing"
"66669",2019-07-26,"us","changing"
"79845",2020-08-06,NA,"changing"
"13250",2020-11-02,"us","changing"
"15119",2020-11-29,"us","changing"
"79314",2020-08-04,"us","changing"
"88337",2020-09-06,"us","changing"
"39893",2020-04-11,"us","changing"
"46296",2020-05-01,"us","changing"
"50241",2020-05-31,"us","changing"
"60070",2020-06-06,"us","changing"
"33329",2020-02-08,NA,"changing"
"78474",2020-08-30,"us","changing"
"86797",2020-09-28,"ca","changing"
"12227",2020-01-01,"us","changing"
"14316",2020-11-25,"us","changing"
"27233",2020-01-04,"us","changing"
"58353",2019-06-29,"us","changing"
"65810",2020-07-22,"us","changing"
"77801",2020-08-27,"us","changing"
"75597",2020-08-20,NA,"changing"
"14589",2020-11-26,"us","changing"
"30002",2020-02-16,"us","changing"
"40814",2020-04-14,"us","changing"
"40822",2020-04-14,"us","changing"
"87605",2020-09-03,"us","changing"
"40048",2019-04-01,"us","changing"
